,Theme,Genre,Title
1514,super power super powersuper,action fantasy sci fi,certain magical index ii
801,historical organized crime organized crimeorganized,action drama suspense,days
2788,school,romance,'ve always liked friday 's good morning
1844,mecha,action comedy,long
1652,adult cast adult castadult detective mecha psychological,action mystery sci fi,ghost shell arise border ghost whispers
231,martial arts martial artsmartial super power super powersuper,action adventure comedy drama mystery,scissor seven
1320,every,gourmet slice life slice lifeslice,long
1872,delinquents organized crime organized crimeorganized school workplace,action comedy,gokusen
2649,reincarnation,adventure boys love boys loveboys drama fantasy,betrayal knows name
2147,anthropomorphic racing,sports,umamusume pretty derby
2170,every,action adventure drama fantasy,pok mon lucario mystery mew
1378,gore historical survival,action fantasy horror suspense,kabaneri iron fortress light gathers
1786,harem school,comedy romance sci fi ecchi,love ru darkness
2399,every,boys love boys loveboys drama fantasy,boy caught merman
3690,mecha military,action drama sci fi,armored trooper votoms alone
1143,school team sports team sportsteam,comedy sports,kuroko 's basketball specials
3439,isekai,action adventure fantasy,dog days
191,historical mythology,action adventure drama fantasy,heaven official 's blessing
104,every,action drama mystery romance supernatural suspense,garden sinners chapter paradox spiral
2857,mythology school,comedy supernatural,rin ne season
1725,cgd cgdct cgdctc cgdctcg cgdctcgd cgdctcgdc iyashikei school,slice life slice lifeslice,super cub
1298,love polygon love polygonlove school,romance,married couple lovers
3222,educational iyashikei workplace,gourmet slice life slice lifeslice,kiyo kyoto maiko house
1536,mecha racing,action adventure sci fi,oban star racers
3685,vampire,action supernatural,hellsing dvd special hellsing teaser hellsing episode
2124,otaku culture otaku cultureotaku,comedy romance,oreimo specials
2882,harem school,action fantasy romance sci fi,date live
2946,idols male idols male idols music performing arts performing artsperforming school,nan,koukou hoshi kageki ova high school star musical ova starmu
3189,harem isekai reincarnation,action adventure fantasy romance,seirei gensouki spirit chronicles
3588,gore mythology,action fantasy,devil may cry
1684,combat sports combat sportscombat gore,sports,baki grappler
2337,time time travel time traveltime,adventure drama fantasy,mirai
1793,super power super powersuper,action fantasy mystery,k
3769,mahou shoujo mahou shoujomahou,action fantasy slice life slice lifeslice,eiga kirakira precure la mode paris omoide mille feuille
2390,cgd cgdct cgdctc cgdctcg cgdctcgd cgdctcgdc iyashikei,gourmet slice life slice lifeslice,slow loop
3125,every,comedy romance sci fi ecchi,mahoromatic summer tv special mahoromatic natsu tv special
3246,parody school,comedy supernatural,school hanako kun
994,every,adventure fantasy,tegami bachi letter bee reverse
464,parody samurai,action comedy,gintama harumatsuri
3567,every,boys love boys loveboys fantasy,boy professional wizard
3248,school,drama romance,bottom tier character tomozaki nd stage
3101,mecha school strategy game strategy gamestrategy,action adventure sci fi,rockman exe stream
2083,every,adventure sci fi,gatchaman crowds special gatchaman crowds episode gatchaman crowds episode director 's cut
1236,every,adventure comedy fantasy,doraemon movie nobita 's new great adventure underworld
3450,every,action adventure fantasy,chain chronicle light haecceitas part
2194,mecha military,action sci fi,appleseed ex machina
212,otaku culture otaku cultureotaku school,boys love boys loveboys,sasaki miyano graduation
1036,gore military,action adventure drama fantasy horror,berserk golden age arc egg king
3740,every,action drama sci fi,farewell arms
900,adult cast adult castadult historical psychological,mystery suspense,moriarty patriot ova
1557,gag humor gag humorgag mythology,comedy supernatural,'re summoned azazel
1566,every,action fantasy sci fi,horizon middle nowhere ii
741,cgd cgdct cgdctc cgdctcg cgdctcgd cgdctcgdc music school,comedy,k
3392,historical mythology,action adventure fantasy,sengoku youko
2988,military space,action romance sci fi,seikai monshou movie crest stars special edition
2580,educational gag humor gag humorgag mythology workplace,comedy fantasy,heaven 's design team idea
1206,mythology,action adventure fantasy,rage bahamut genesis
509,gag humor gag humorgag school,action comedy,full metal panic fumoffu
597,school,gourmet ecchi,food wars third plate totsuki train arc
3776,every,comedy,hime specials
981,adult cast adult castadult love polygon love polygonlove,drama romance,golden time
1953,mythology,action fantasy mystery,kemono jihen
3564,idols female idols female idols music,comedy sci fi slice life slice lifeslice,symphogear gx specials
518,detective,adventure comedy mystery,detective conan movie quarter silence
3810,parody school,comedy,tesagure bukatsu mono spin purupurun sharumu asobou
767,every,comedy drama,kaleido star legend phoenix layla hamilton story
3031,idols female idols female idols music school,slice life slice lifeslice,love live school idol project minutes
2654,psychological school,drama mystery,kakegurui twin
421,every,action adventure drama fantasy romance,tsubasa reservoir chronicle spring thunder chronicle
123,mahou shoujo mahou shoujomahou psychological,award winning award winningaward drama fantasy suspense,puella magi madoka magica movie rebellion
2715,mecha space super power super powersuper,action sci fi,kiddy grade
3253,every,drama supernatural,living day tomorrow
3660,historical martial arts martial artsmartial,action adventure mystery,shao nian ge xing nd season part shaonian ge xing nd season great journey teenagers nd season
819,cgd cgdct cgdctc cgdctcg cgdctcgd cgdctcgdc gag humor gag humorgag school,comedy girls love girls lovegirls,yuruyuri happy go lily
